number x y z index
1 8.1256 4.43088 1.3 1
2 8.1256 4.43088 0 2
3 7.13891 4.43088 0 0
4 6.15223 4.43088 0 3
5 8.1256 4.43088 2.6 5
6 8.1256 4.43088 3.9 6
7 8.1256 4.43088 6.5 7
8 8.1256 4.43088 5.2 8
9 6.81002 4.43088 6.5 9
10 4.17884 4.43088 1.3 11
11 4.17884 4.43088 2.6 12
12 5.16553 4.43088 0 13
13 4.17884 4.43088 0 14
14 4.17884 4.43088 3.9 15
15 5.49443 4.43088 6.5 16
16 4.17884 4.43088 5.2 17
17 4.17884 4.43088 6.5 18
18 8.1256 8.10701 1.3 20
19 8.1256 8.10701 0 21
20 8.1256 7.18798 0 19
21 8.1256 6.26894 0 22
22 8.1256 8.10701 2.6 24
23 8.1256 8.10701 3.9 25
24 8.1256 8.10701 6.5 26
25 8.1256 8.10701 5.2 27
26 8.1256 6.88163 6.5 28
27 8.1256 5.34991 0 30
28 8.1256 5.65626 6.5 31
29 4.17884 8.10701 1.3 33
30 4.17884 8.10701 0 34
31 5.16553 8.10701 0 32
32 6.15223 8.10701 0 35
33 4.17884 8.10701 2.6 37
34 4.17884 8.10701 3.9 38
35 4.17884 8.10701 6.5 39
36 5.49443 8.10701 6.5 41
37 4.17884 8.10701 5.2 40
38 7.13891 8.10701 0 43
39 6.81002 8.10701 6.5 44
40 4.17884 5.65626 6.5 45
41 4.17884 6.88163 6.5 46
42 4.17884 5.34991 0 47
43 4.17884 6.26894 0 48
44 4.17884 7.18798 0 51
45 0.25 0.25 0 123
46 0.25 0.25 1.42857 124
47 0.25 1.2 0 122
48 0.25 2.15 0 125
49 0.25 0.25 2.85714 126
50 0.25 0.25 4.28571 127
51 0.25 3.1 0 128
52 0.25 5 0 129
53 0.25 4.05 0 130
54 0.25 0.25 5.71429 131
55 0.25 0.25 8.57143 132
56 0.25 0.25 7.14286 133
57 0.25 0.25 10 134
58 0.25 1.60714 10 135
59 0.25 2.96429 10 136
60 0.25 4.32143 10 137
61 0.25 5.67857 10 138
62 0.25 5.95 0 139
63 0.25 6.9 0 140
64 0.25 7.85 0 141
65 0.25 8.8 0 142
66 0.25 9.75 1.42857 143
67 0.25 9.75 0 144
68 0.25 9.75 2.85714 145
69 0.25 9.75 4.28571 146
70 0.25 7.03571 10 147
71 0.25 8.39286 10 148
72 0.25 9.75 7.14286 149
73 0.25 9.75 5.71429 150
74 0.25 9.75 8.57143 151
75 0.25 9.75 10 152
76 1.2 9.75 0 223
77 2.15 9.75 0 224
78 3.1 9.75 0 225
79 4.05 9.75 0 226
80 5 9.75 0 227
81 1.60714 9.75 10 228
82 2.96429 9.75 10 229
83 4.32143 9.75 10 230
84 5.67857 9.75 10 231
85 5.95 9.75 0 232
86 6.9 9.75 0 233
87 7.85 9.75 0 234
88 8.8 9.75 0 235
89 9.75 9.75 1.42857 236
90 9.75 9.75 0 237
91 9.75 9.75 2.85714 238
92 9.75 9.75 4.28571 239
93 7.03571 9.75 10 240
94 8.39286 9.75 10 241
95 9.75 9.75 7.14286 242
96 9.75 9.75 5.71429 243
97 9.75 9.75 8.57143 244
98 9.75 9.75 10 245
99 9.75 8.8 0 316
100 9.75 7.85 0 317
101 9.75 6.9 0 318
102 9.75 5 0 319
103 9.75 5.95 0 320
104 9.75 8.39286 10 321
105 9.75 7.03571 10 322
106 9.75 5.67857 10 323
107 9.75 4.32143 10 324
108 9.75 4.05 0 325
109 9.75 3.1 0 326
110 9.75 2.15 0 327
111 9.75 1.2 0 328
112 9.75 0.25 1.42857 329
113 9.75 0.25 0 330
114 9.75 0.25 2.85714 331
115 9.75 0.25 4.28571 332
116 9.75 2.96429 10 333
117 9.75 1.60714 10 334
118 9.75 0.25 7.14286 335
119 9.75 0.25 5.71429 336
120 9.75 0.25 8.57143 337
121 9.75 0.25 10 338
122 8.8 0.25 0 395
123 7.85 0.25 0 396
124 6.9 0.25 0 397
125 5.95 0.25 0 398
126 5 0.25 0 399
127 8.39286 0.25 10 400
128 7.03571 0.25 10 401
129 5.67857 0.25 10 402
130 4.05 0.25 0 403
131 3.1 0.25 0 404
132 2.15 0.25 0 405
133 1.2 0.25 0 406
134 4.32143 0.25 10 408
135 2.96429 0.25 10 409
136 1.60714 0.25 10 407
