id numOfFeatures mshPtsIndxList mshFaces-nid mshFaces-PtsIndxList
0 [ 0,0,0 ] [ 0,0,0,0,0,0,0,0 ] [ unAssigned,unAssigned,unAssigned,unAssigned,unAssigned,unAssigned ] [ | | | | | ] 
0-0 [ 0,0,0 ] [ 0,0,0,0,0,0,0,0 ] [ unAssigned,unAssigned,unAssigned,unAssigned,unAssigned,unAssigned ] [ | | | | | ] 
0-0-0 [ 0,0,0 ] [ 0,0,0,0,0,0,0,0 ] [ unAssigned,unAssigned,unAssigned,unAssigned,unAssigned,unAssigned ] [ | | | | | ] 
0-0-0-0 [ 0,0,0 ] [ 0,0,0,0,0,0,0,0 ] [ unAssigned,unAssigned,unAssigned,unAssigned,unAssigned,unAssigned ] [ | | | | | ] 
0-0-0-0-0 [ 6,2,1 ] [ 0,1,2,3,4,5,6,7 ] [ node-0-0-0-0-0->face-0,node-0-0-0-0-0->face-1,node-0-0-0-0-0->face-2,node-0-0-0-0-0->face-3,node-0-0-0-0-0->face-4,node-0-0-0-0-0->face-5 ] [ 0,1,5,4 | 1,2,6,5 | 2,3,7,6 | 0,4,7,3 | 5,6,7,4 | 1,0,3,2 ] 
0-0-0-0-1 [ 8,0,0 ] [ 1,8,9,2,5,10,11,6 ] [ node-0-0-0-0-1->face-0,node-0-0-0-0-1->face-1,node-0-0-0-0-1->face-2,node-0-0-0-0-1->face-3,node-0-0-0-0-1->face-4,node-0-0-0-0-1->face-5 ] [ 1,8,10,5 | 8,9,11,10 | 9,2,6,11 | 1,5,6,2 | 10,11,6,5 | 8,1,2,9 ] 
0-0-0-0-2 [ 8,2,1 ] [ 3,2,12,13,7,6,14,15 ] [ node-0-0-0-0-2->face-0,node-0-0-0-0-2->face-1,node-0-0-0-0-2->face-2,node-0-0-0-0-2->face-3,node-0-0-0-0-2->face-4,node-0-0-0-0-2->face-5 ] [ 3,2,6,7 | 2,12,14,6 | 12,13,15,14 | 3,7,15,13 | 6,14,15,7 | 2,3,13,12 ] 
0-0-0-0-3 [ 8,0,0 ] [ 2,9,16,12,6,11,17,14 ] [ node-0-0-0-0-3->face-0,node-0-0-0-0-3->face-1,node-0-0-0-0-3->face-2,node-0-0-0-0-3->face-3,node-0-0-0-0-3->face-4,node-0-0-0-0-3->face-5 ] [ 2,9,11,6 | 9,16,17,11 | 16,12,14,17 | 2,6,14,12 | 11,17,14,6 | 9,2,12,16 ] 
0-0-0-0-4 [ 8,2,1 ] [ 4,5,6,7,18,19,20,21 ] [ node-0-0-0-0-4->face-0,node-0-0-0-0-4->face-1,node-0-0-0-0-4->face-2,node-0-0-0-0-4->face-3,node-0-0-0-0-4->face-4,node-0-0-0-0-4->face-5 ] [ 4,5,19,18 | 5,6,20,19 | 6,7,21,20 | 4,18,21,7 | 19,20,21,18 | 5,4,7,6 ] 
0-0-0-0-5 [ 8,0,0 ] [ 5,10,11,6,19,22,23,20 ] [ node-0-0-0-0-5->face-0,node-0-0-0-0-5->face-1,node-0-0-0-0-5->face-2,node-0-0-0-0-5->face-3,node-0-0-0-0-5->face-4,node-0-0-0-0-5->face-5 ] [ 5,10,22,19 | 10,11,23,22 | 11,6,20,23 | 5,19,20,6 | 22,23,20,19 | 10,5,6,11 ] 
0-0-0-0-6 [ 8,0,0 ] [ 7,6,14,15,21,20,24,25 ] [ node-0-0-0-0-6->face-0,node-0-0-0-0-6->face-1,node-0-0-0-0-6->face-2,node-0-0-0-0-6->face-3,node-0-0-0-0-6->face-4,node-0-0-0-0-6->face-5 ] [ 7,6,20,21 | 6,14,24,20 | 14,15,25,24 | 7,21,25,15 | 20,24,25,21 | 6,7,15,14 ] 
0-0-0-0-7 [ 0,0,0 ] [ 6,11,17,14,20,23,26,24 ] [ unAssigned,unAssigned,unAssigned,unAssigned,unAssigned,unAssigned ] [ | | | | | ] 
0-0-0-1 [ 0,0,0 ] [ 0,0,0,0,0,0,0,0 ] [ unAssigned,unAssigned,unAssigned,unAssigned,unAssigned,unAssigned ] [ | | | | | ] 
0-0-0-1-0 [ 8,0,0 ] [ 8,27,28,9,10,29,30,11 ] [ node-0-0-0-1-0->face-0,node-0-0-0-1-0->face-1,node-0-0-0-1-0->face-2,node-0-0-0-1-0->face-3,node-0-0-0-1-0->face-4,node-0-0-0-1-0->face-5 ] [ 8,27,29,10 | 27,28,30,29 | 28,9,11,30 | 8,10,11,9 | 29,30,11,10 | 27,8,9,28 ] 
0-0-0-1-1 [ 8,0,0 ] [ 27,31,32,28,29,33,34,30 ] [ node-0-0-0-1-1->face-0,node-0-0-0-1-1->face-1,node-0-0-0-1-1->face-2,node-0-0-0-1-1->face-3,node-0-0-0-1-1->face-4,node-0-0-0-1-1->face-5 ] [ 27,31,33,29 | 31,32,34,33 | 32,28,30,34 | 27,29,30,28 | 33,34,30,29 | 31,27,28,32 ] 
0-0-0-1-2 [ 8,0,0 ] [ 9,28,35,16,11,30,36,17 ] [ node-0-0-0-1-2->face-0,node-0-0-0-1-2->face-1,node-0-0-0-1-2->face-2,node-0-0-0-1-2->face-3,node-0-0-0-1-2->face-4,node-0-0-0-1-2->face-5 ] [ 9,28,30,11 | 28,35,36,30 | 35,16,17,36 | 9,11,17,16 | 30,36,17,11 | 28,9,16,35 ] 
0-0-0-1-3 [ 8,0,0 ] [ 28,32,37,35,30,34,38,36 ] [ node-0-0-0-1-3->face-0,node-0-0-0-1-3->face-1,node-0-0-0-1-3->face-2,node-0-0-0-1-3->face-3,node-0-0-0-1-3->face-4,node-0-0-0-1-3->face-5 ] [ 28,32,34,30 | 32,37,38,34 | 37,35,36,38 | 28,30,36,35 | 34,38,36,30 | 32,28,35,37 ] 
0-0-0-1-4 [ 8,0,0 ] [ 10,29,30,11,22,39,40,23 ] [ node-0-0-0-1-4->face-0,node-0-0-0-1-4->face-1,node-0-0-0-1-4->face-2,node-0-0-0-1-4->face-3,node-0-0-0-1-4->face-4,node-0-0-0-1-4->face-5 ] [ 10,29,39,22 | 29,30,40,39 | 30,11,23,40 | 10,22,23,11 | 39,40,23,22 | 29,10,11,30 ] 
0-0-0-1-5 [ 8,0,0 ] [ 29,33,34,30,39,41,42,40 ] [ node-0-0-0-1-5->face-0,node-0-0-0-1-5->face-1,node-0-0-0-1-5->face-2,node-0-0-0-1-5->face-3,node-0-0-0-1-5->face-4,node-0-0-0-1-5->face-5 ] [ 29,33,41,39 | 33,34,42,41 | 34,30,40,42 | 29,39,40,30 | 41,42,40,39 | 33,29,30,34 ] 
0-0-0-1-6 [ 0,0,0 ] [ 11,30,36,17,23,40,43,26 ] [ node-0-0-0-1-6->face-0,node-0-0-0-1-6->face-1,node-0-0-0-1-6->face-2,node-0-0-0-1-6->face-3,node-0-0-0-1-6->face-4,node-0-0-0-1-6->face-5 ] [ 11,30,40,23 | 30,36,43,40 | 36,17,26,43 | 11,23,26,17 | 40,43,26,23 | 30,11,17,36 ] 
0-0-0-1-7 [ 0,0,0 ] [ 30,34,38,36,40,42,44,43 ] [ node-0-0-0-1-7->face-0,node-0-0-0-1-7->face-1,node-0-0-0-1-7->face-2,node-0-0-0-1-7->face-3,node-0-0-0-1-7->face-4,node-0-0-0-1-7->face-5 ] [ 30,34,42,40 | 34,38,44,42 | 38,36,43,44 | 30,40,43,36 | 42,44,43,40 | 34,30,36,38 ] 
0-0-0-2 [ 0,0,0 ] [ 0,0,0,0,0,0,0,0 ] [ unAssigned,unAssigned,unAssigned,unAssigned,unAssigned,unAssigned ] [ | | | | | ] 
0-0-0-2-0 [ 8,2,1 ] [ 13,12,45,46,15,14,47,48 ] [ node-0-0-0-2-0->face-0,node-0-0-0-2-0->face-1,node-0-0-0-2-0->face-2,node-0-0-0-2-0->face-3,node-0-0-0-2-0->face-4,node-0-0-0-2-0->face-5 ] [ 13,12,14,15 | 12,45,47,14 | 45,46,48,47 | 13,15,48,46 | 14,47,48,15 | 12,13,46,45 ] 
0-0-0-2-1 [ 8,0,0 ] [ 12,16,49,45,14,17,50,47 ] [ node-0-0-0-2-1->face-0,node-0-0-0-2-1->face-1,node-0-0-0-2-1->face-2,node-0-0-0-2-1->face-3,node-0-0-0-2-1->face-4,node-0-0-0-2-1->face-5 ] [ 12,16,17,14 | 16,49,50,17 | 49,45,47,50 | 12,14,47,45 | 17,50,47,14 | 16,12,45,49 ] 
